id,firstName,lastName,team_name,market_value,agent,agent_id,contract_expiry
1214134,Arsen,Shikhaliev,Dynamo Makhachkala,-,,,31-Dec-25
1253932,Eltun,Babazada,Qarabag II,-,,,-
769246,Benjamin ,Brantlind,IFK Göteborg,-,,,31-Dec-26
1153498,Colin,Twumasi,Austria Lustenau II,-,,,-
1047361,Rzvan,Perju,,-,,,-
1187512,Agostinho Lomunda,Chipesse,KPV,-,Agencysports,12891,31-Dec-25
1165670,Lalofau,Fe'a,Royal Puma,-,,,-
1165684,Billjay,Vaitoelau,Royal Puma,-,,,-
948201,Joseph,Murphy,Bangor Celtic,-,,,-
749063,Omid,Ramezani,Mt Druitt Town,-,,,-
964805,Rauã,Silva Santos Moraes,,-,,,-
1163821,George,Jones,Newport County U18,-,,,-
793164,Patrik,Prodanovi,Brinje-Grosuplje,-,Love Players,5711,-
816103,Karlo,Antunovi,Jadran LP,-,,,-
784554,Yannis,Gerin,RAAL La Louvière U21,-,,,-
1031525,Thomas Andre,Sivok,Sparta Praha U19,-,,,-
1152332,Aaron,Issumo,Auxerre U19,-,,,-
950089,Yanislav,Yankov,Marek, ¬10k,,,-
895136,Milton Uriel,Ríos,Huracán,-,,,31-Dec-27
895334,Olt,Plllana,,-,,,30-Jun-25
894804,Tommaso,Mazzi,Fiorentina U18,-,,,-
1031485,Francesco,Berardelli,Ponte San Pietro,-,,,30-Jun-25
1131169,Fabio,Castelli,Rodez U19,-,,,-
1034807,Nejc,Kraut,Roho,-,,,-
1239163,Andrea Domenico,Vaccarella,Oltrepo Voghera (OLD),-,SKYGTS S&M by Paolo ...,14472,-
1029086,Tibor,Zupani,,,,,
,Hajdina,-,,,-,,
1029093,Urban,Tomani,,,,,
,,-,,,-,,
429211,Kristian,Kepe,Sredia,,,,
e,-,,,-,,,
303140,Luca,Lombardi,,-,,,-
706382,Oliver,Lyckman,Lidköping,-,,,-
1030313,Amary,Coproh,Thonon Évian,-,,,-
879586,Amari,Moses,Everton U18,-,Agent is known - Player under 18,,-
303089,Andrea,Guglielmetti,,-,,,-
1034967,Cristian,Pone,,-,Stellar Management,7869,-
977379,Tobias,Mikua,Tren,,,,
ín U19,-,,,-,,,
1009852,Khalfan ,Al-Nuaimi,Al-Nahda, ¬25k,,,-
952109,Joel Yamal,Garces,Alianza, ¬150k,,,-
970395,Daniel,Daly,Skerries Town,-,,,-
919762,Mahmoud,Gamal,Alo Egypt,-,,,30-Jun-27
1166265,Amadou,Sanoe-Cisse,Le Mans,-,,,-
133077,Rein Tun,Thu,Shan United, ¬50k,,,-
766725,Bertram,Ruban Frederiksen,,-,,,-
1032514,Juan,Carlos Brenes Salazar,AD Sarchí,-,,,-
968045,Viorel,Oprea,,-,,,-
1094086,Marko,Scepanovic,Iskra,-,,,-
981617,Samuel,Ozdemir ,Mt Druitt Town,-,,,-
896768,Mathis ,Bochereau,Saumur,-,,,-
1271592,Boutaleb,Nadir,Montpellier U17,-,,,-
1264145,Erki,Praks,JK Poseidon,-,,,-
1176302,Gregor,Türner,Tammeka II,-,,,31-Dec-25
1194118,Thulani,Sikhosana,Baroka,-,,,-
1188423,Abdusamad,Melikmurodov,,-,,,-
1188426,Akhmadchon,Shoev,,-,,,-
1229234,Lukas,Mattsson,Zenith ,-,,,-
997480,Charlie ,Royal ,,-,,,-
1194017,Mashudu,Makhavhu,Polokwane City,-,,,-
1233775,Thapelo,Mosimanyana,Tornado,-,,,-
1232960,Essien,Makwarimba,University of Pretoria,-,Agent is known - Player under 18,,-
1193972,Mpho,Mvundlela,Polokwane City,-,Agent is known - Player under 18,,-
1193787,Dellmico,Malgas,Upington City,-,,,-
1263625,Michael ,Wong,Southland United,-,,,-
1163699,Arda,I_1k,Adana 01,-,,,-
1224100,Thomas,Bloemert,VV Staphorst,-,,,-
1029153,Leon,Rep,Interblock,-,,,-
450364,Bla~,Draa,,,,,
ek,Bilje, ¬10k,,,-,,
1195875,Aubain,Lachat,La Chaux-de-Fonds,-,,,-
996257,Lautaro,Ibanez Benitez,Sud América,-,IM Group,11882,-
1016506,Valentine,Nweke,Górnik Zabrze II,-,,,-
917507,Alja~,Vodopivec,Radomlje, ¬125k,Nussi Foundation,3795,30-Jun-25
1034626,Jagoa ,Roganovi,Mladost DG,-,,,-
1070254,August,Sølberg,Grand Bodø,-,,,-
1070248,Emre,Cetin,Innstranden,-,,,-
784881,Milan,Buron,Camon,-,,,-
1032569,Alex Izunna,Naza,,-,R.G Top Sport ...,231,-
1010837,Milen,Marinov,Dunav ot Ruse II,-,,,-
1025955,Arman,Nahany,Feyenoord U19,-,,,30-Jun-28
